Index,A,B,A_SMILES,B_SMILES,vdw_ETDG,density_mean,density_std,FFV(MD calculated),dp1(input SMILES for GCNN)
C11454,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1cccc(N)c1,0.509588772,1.190227795,0.0061495,0.211515263,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2cccc(N)c2)C3=O)cc1
C9646,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,CC(C)(c1ccc(N)cc1)c1cccc(C(C)(C)c2ccc(N)cc2)c1,0.524722896,1.148114022,0.00723918,0.216825771,CC(C)(c1ccc(N)cc1)c1cccc(C(C)(C)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)cc2)c1
C9186,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.510716951,1.196142074,0.004730819,0.205842957,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)cc2)cc1
C22894,,,CC(C)(c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)cc1,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,0.51398574,1.166981965,0.004467985,0.220244284,Cc1cc(-c2ccc(N3C(=O)c4ccc(C(=O)Oc5ccc(C(C)(C)c6ccc(OC(=O)c7ccc8c(c7)C(=O)OC8=O)cc6)cc5)cc4C3=O)c(C)c2)ccc1N
C11453,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(Cc2ccc(N)cc2)cc1,0.519778204,1.175024705,0.004614588,0.2060221,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Cc4ccc(N)cc4)cc2)C3=O)cc1
C147353,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1cccc(Oc2ccc3c(c2)C(=O)OC3=O)c1,Nc1ccc(N)cc1,0.509565264,1.199832602,0.006554143,0.205189078,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(N)cc2)C3=O)cc1)c1cccc(Oc2ccc3c(c2)C(=O)OC3=O)c1
C9757,,,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.514428381,1.18289094,0.005573263,0.208933527,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)cc2)cc1
C9571,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(Cc2ccc(Cc3ccc(N)cc3)cc2)cc1,0.511989196,1.183329117,0.006817648,0.21239276,Nc1ccc(Cc2ccc(Cc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)OC7=O)cc5C4=O)cc3)cc2)cc1
C9180,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Cc1cc(N)ccc1-c1ccc(N)cc1C,0.501538024,1.174199128,0.007036515,0.234422836,Cc1cc(N)ccc1-c1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)OC5=O)cc3C2=O)cc1C
C632,,,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,NCCCCCCCCCCCCN,0.544650369,1.101741487,0.005596417,0.219916921,NCCCCCCCCCCCCn1c(=O)c2cc3c(=O)oc(=O)c3cc2c1=O
